title,author,genre,summary,excerpt
The Fortune Hunter,['Daisy Goodwin'],['Fiction'],"A beautiful empress trapped in a loveless marriage, a dashing but impoverished horseman and a clever heiress form a passionate love triangle in 19th-century England against a backdrop of the legendary Grand National competition. By the best-selling author of The American Heiress. 150,000 first printing.","As the other reviews said it all, this is an excellent romance novel. Loved the story line and thoroughly enjoyed the interaction between Lord Rival and Lady Olivia. Both are strong independent characters, who are used to having their ways. There was the chemistry and rivalry-attraction between the two main characters, despite their bettter judgement. Reminded me of a good Humphrey Bogart and Lauren Bacall classic. This is a guarantee keeper and I will be re-reading this numerous times more. Wish I could give it more than 5-stars. Definitely the GOLD standard for me."
Of Mice And Men,['John Steinbeck'],['Fiction'],"A controversial tale of friendship and tragedy during the Great Depression A Penguin Classic Over seventy-five years since its first publication, Steinbeck’s tale of commitment, loneliness, hope, and loss remains one of America’s most widely read and taught novels. An unlikely pair, George and Lennie, two migrant workers in California during the Great Depression, grasp for their American Dream. They hustle work when they can, living a hand-to-mouth existence. For George and Lennie have a plan: to own an acre of land and a shack they can call their own. When they land jobs on a ranch in the Salinas Valley, the fulfillment of their dream seems to be within their grasp. But even George cannot guard Lennie from the provocations, nor predict the consequences of Lennie's unswerving obedience to the things George taught him. Of Mice and Men represents an experiment in form, which Steinbeck described as “a kind of playable novel, written in a novel form but so scened and set that it can be played as it stands.” A rarity in American letters, it achieved remarkable success as a novel, a Broadway play, and three acclaimed films. This edition features an introduction by Susan Shillinglaw, one of today’s leading Steinbeck scholars. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","I first read this book when I was in seventh grade. It was a captivating world, and story. The characters were so full that they seemed to burst at the seams. This book conveys the deeper aspects of life through a simple and beautiful story. It touched me as a young adult, and helped me blossom through the years of pain. It is a book about the roots and fabric of life, that binds humanity together. THIS IS A MUST READ. authors that are able to get to the source of life are the strongest with their message, read steinbeck's novel and you will understand what I'm saying."
Stealing Some Time:Volume 1 (Parts 1 and 2),['Mark Kendrick'],['Fiction'],"Science fiction adventure story that follows two gay men, Kallen Deshara and Aaric Utzman, and their relationship.","Mark Kendrick has done it again. In this book he has continued to create fully developed characters, that you get to know and love. Not only do you get great characters, you also get a great S/F story. This is the first volume in the Stealing Some Time trilogy. This is a great story that comments on social and ecological problems that we are currently facing. I found this book to be worth the read, and didn't want to put it down. Kendrick also does a decent job of dealing with the problems of paradoxes that all time travel stories encounter.Oh yeah, by the way... the main character happens to be gay."
"Gentleman's Game, A",['Greg Rucka'],['British'],"When an unthinkable act of terror devastates London, nothing will stop Tara Chace from hunting down those responsible. Her job is simple: stop the terrorists before they strike a second time. To succeed, she'll do anything and everything it takes. She'll have to kill again. Only this time the personal stakes will be higher than ever before.","Like the swing of young Timmy, so is the prose of his creator. Coyne's novel is not really about gentlemen, it's not really about games. Nevertheless, if you've ever played golf, read this book. If you've never played golf, and wondered why the hell any sane person would, read this book. If you've ever been a son, read this book. If you've ever had a father, read this book. If you've never had a father, read this book. In short, if you never read anything else in your life, read this book."
"Japanese, Basic: Learn to Speak and Understand Japanese with Pimsleur Language Programs (Simon & Schuster's)",['Pimsleur'],,"Experience The Method That Changed Language Learning Forever. ""Pimsleur Unlimited ""combines the interactivity of software-based learning tools with the convenience and power of the portable Pimsleur Method . Each level of Pimsleur Unlimited contains approximately 15 hours of audio language instruction in 30 daily lessons featuring the proven Pimsleur Method. With Pimsleur Unlimited Japanese Levels 1-4, users get 120 daily lessons. That's 60 hours of very effective audio lessons, plus ... Four levels gives you 80 Reading Lessons to introduce you to reading in Level 1, then in the following Levels gives you practice in reading, and provides additional vocabulary and cultural information, Japanese Levels 1-4 contains 120 Speak Easy Conversations allowing you to fine-tune conversational skills, and perfect your accent, There are over 1,200 digital flash cards (300 per Level) allowing you to practice, brush up, or review, And with four Levels of the Quick Match interactive phrase game, you get 1,200 questions (300 per Level) to challenge you. Online access to live native speakers who will provide cultural context and live learning with Engage Ambassador sessions. 120 spectacular high resolution travel photographs to inspire and enhance your cultural education, Unlimited allows for4 users on up to 4 devices. Over 50 years ago, Dr. Paul Pimsleur developed a method that transformed language learning. Since then, millions have used this system to begin to speak and understand a new language effortlessly. You can too. Learn Fast Still only 30 minutes a day, Pimsleur audio lessons are completely portable; use them in the car, at the gym, or while out for a walk. In addition, Pimsleur Unlimited harnesses the power of your computer, integrating the audio and reading lessons with Speak Easy conversations, which pull you into the culture, fixing rhythm and intonation in your mind, and helping you to develop a near-native accent. Review on Your Terms Reinforce what you ve learned quickly and effectively with flash cards. Created to help you practice the most-essential vocabulary, the cards contain words and short phrases from the Audio Lessons. The Quick Match interactive phrase game will help you to challenge yourself with longer phrases and sentences in a fun and fast-paced new way. Brush up, or dive deep --- it s all up to you. Expand Your Horizons. Reconnect with Your Heritage. Travel with Confidence. Experience language learning like never before. Pimsleur Unlimited: easy, engaging, and fun. When you register the software, you ll be given access to the Pimsleur Course Manager App, which optimizes your mobile learning experience. The iOS/Android compatible App allows you to complete the 30-minute daily lessons on the go using your smartphone or tablet including iPhone, and iPad. ""Pimsleur Unlimited"" is designed for use by one registered user, plus up to three household members, and may be installed on up to four devices. Product includes a DVD data disc with the Pimsleur Unlimited software application. Minimum System Requirements Broadband Internet connection required Minimum 1GB RAM Minimum 10GB free disk space 1024 x 768 display resolution DVD drive for installation Adobe Flash Player 9 or above Headset, or microphone and speakers for Ambassador Sessions Webcam for video access to Ambassador Sessions Windows 2.33GHz or faster x86-compatible processor, or Intel Atom 1.6GHz or faster processor for netbooks. Windows Vista, 32 and 64 bit; Windows 7, 32 and 64 bit; Windows 8.1 (Classic) or greater Mac OS Intel Core Duo or faster processor Mac OS X v 10.7 or greater""","I commute 1 hour to work each day. During this time, I decided learing Japanese would be my ""project"" to utilize my time wisely. This has been a very interesting adventure for my family and myself. My children are very interested in learning as well. They have learned as much Japanese as I have in just as little time. It was money well spent. We now great eachother in Japanese and also say, ""Thank You"" in Japanese at restarants, etc. it really freaks out the waitresses for my 4 year old son to tell her ""Domo Arigato""."
An Introduction to Persian,"['Wheeler McIntosh Thackston', 'W. M. Thackston']",['Foreign Language Study'],"This book is intended to serve as an introduction on the elementary level to the modern Persian language. Each lesson is provided with specific exercises and drills for the major grammatical and syntactical points introduced therein. Vocabulary are included at the end of each lesson are intended for active acquisition. Specialized supplementary vocabulary lists are also scattered throughout the book. In part two of the grammar, the outstanding differences between modern and classical usage are given. In part three the distinguishing features of ordinary colloquial Persian are given.","I am no stranger to technical language, nor do I detest grammatical terminology. I have spent my entire academic life learning or reading Latin, Greek, Syriac, Aramaic, Coptic, Arabic and Persian; I have, therefore, come accross many textbooks of varying usefulness and presentation. Let me say in the strongest possible terms that Thackston's text is the absolute worst text that I have ever used: the book is dry, lifeless, imprecise, and thoroughly frustrating. For reasons best known to himself, Thackston renames all the Persian verb tenses, invents new grammar terminology, attempts to illustrate grammatical concepts with seemingly contradictory examples (esp. the quibbling over the indefinite vs. definite nouns), and rushes through topics here and reintroduces them there (esp. the subjunctive). The book is not thoroughly cross-referenced, and it is written in one of the basest and most insipid forms of English that I have ever read. Is this the best that a Harvard professor can do? It seems that it is, for I also own Thackston's Syriac grammar, which is equally horrid. My entire class hated the book, as has every student of Persian to whom I have spoken at the University of Toronto. I may also point out that Thackston's frequent use of English transliterations without any Persian spelling is positively daft. As many others have mentioned, Thackston's text in comparison with Lambton's is as a candle next to the sun."
The Hobbit,['J. R. R. Tolkien'],['Juvenile Fiction'],"Celebrating 75 years of one of the world's most treasured classics with an all new trade paperback edition. Repackaged with new cover art. 500,000 first printing.","Let's never forget that, unlike The Lord Of The Rings, this is a children's book. It's quite a good one, but we can't pretend great literature from it: it was not its purpose. It may be considered just a prologue to The Lord Of The Rings, or a real novel itself, anyway it's quite nice to read."
"Awakening Athena: Resilience, Restoration, and Rejuvenation for Women","['Genie James', 'C. W. Randolph']",['Health & Fitness'],"For much too long the traditional medical community has ignored, misdiagnosed, and mistreated millions of women suffering from symptoms of hormone imbalance. Now, a world-renowned expert explains a safer and more natural approach to treating hormone-related conditions like PMS, weight gain, mood swings, and hot flashes. The controversy continues to rage like hormones: The safety and efficacy of synthetic hormone replacement therapies (HRT) versus human-identical hormones. In this second edition of the widely successful guide From Hormone Hell to Hormone Well, world-renowned physician expert, C.W. Randolph, Jr., M.D., and Genie James team up to challenge the continual promotion by the pharmaceutical industry--and the physicians they have brainwashed--of dangerous synthetic hormones. In this hard-hitting book, Dr. Randolph and Ms. James expose the shocking truth that for decades, whenever most women have complained to their doctor about menopausal symptoms, the traditional approach treatment has put both their health and their lives at risk. As a board certified gynecologist who has treated women with hormone balances for over a decade, Dr. Randolph contends that there is--and has been--a safe and effective alternative to synthetic hormones: Bio-identical hormone replacement therapy (BHRT). Hormone Hell to Hormone Well shows readers how to: Eradicate a ""one-size-fits-all"" approach to HRT and empower women to discover and maintain her 'hormonal equilibrium' through her changing lifecycle Understand the new breakthroughs and discoveries in human-identical hormone therapy Naturally replace the hormones that have decreased with age--with the science that supports the health benefits of biidentical hormone therapy Enjoy vast improvements in mental and emotional health as well as resolving physical issues, including weight gain, depression, osteoporosis, hot flashes, low sex drive, and fatigue","Love the Athena theme and the life stages; very readable, very yogic, and very useful and informative. Great job!"
1984,['George Orwell'],['Fiction'],"Nieuwspraak, Big Brother, het vocabulaire uit 1984 is in onze taal opgenomen en een eigen leven gaan leiden. De roman van George Orwell uit 1949 over de strijd van Winston Smith, ambtenaar op het ministerie van Waarheid, tegen de alles doordringende Partij, en zijn gedoemde liefde voor Julia heeft niets van zijn literarie zeggingskracht verloren. In Orwells steeds weer herdrukte anti-utopie verkeert de wereld in de wurggreep van een systeem dat is gegrondvest op de verbreiding van angst, haat en wreedheid, en dat iedere vorm van persoonlijke vrijheid en indiviualiteit uitsluit. 1984 is onverminderd geldig als benauwend nauwkeurig blauwdruk van elk dictatoriaal regime.","I have read this book 3 or 4 times and still find it relative to our society today. The way things are going we maybe heading toward a Oceania society,though police and war that neverends.Look at the patriotic act,the war in Iraq and terriotist. I would recommend EVERYONE READ THIS BOOK."
Franny and Zooey,['J. D. Salinger'],['Fiction'],"""Perhaps the best book by the foremost stylist of his generation"" (New York Times), J. D. Salinger's Franny and Zooey collects two works of fiction about the Glass family originally published in The New Yorker. ""Everything everybody does is so--I don't know--not wrong, or even mean, or even stupid necessarily. But just so tiny and meaningless and--sad-making. And the worst part is, if you go bohemian or something crazy like that, you're conforming just as much only in a different way."" A novel in two halves, Franny and Zooey brilliantly captures the emotional strains and traumas of entering adulthood. It is a gleaming example of the wit, precision, and poignancy that have made J. D. Salinger one of America's most beloved writers.","This is my favorite Salinger book. I read it every year again, and it's a touchpoint for me about how my view of the world is changing.I think Salinger's penchant for weaving multiple storylines together that he did in 9 Stories and with other stories involving the Glass family is in its best form here, with 2 focal people. It's a great twist that those two people are in the same house for much of the book.Salinger does a great job of setting the whole thing in an apartment that's getting painted and a bathroom where Zooey is washing and preparing to leave. Essentially the entire space is in transition, a bit of a phoenix cycle, as are the two main characters. And in that setting he weaves magic of what it means to be a human in this world. And the last 15 pages or so is the best conversation and accompanying metaphor out there."
Creators on Creating: Awakening and Cultivating the Imaginative Mind (New Consciousness Reader),['Frank Barron'],['Self-Help'],"This collection of over three dozen essays ponders the essence of creativity. Includes selections from Henry Miller, Federico Fellini, Rainer Maria Rilke, Isadora Duncan, Frank Zappa, and Mary Shelley. A New Consciousness Reader.",This book is a fascinating read - the selection of writings is fabously diverse and offers a myriad of views on creativity. It is easy to read and can be picked up and put down at any time with its short chapters. It is indeed a true treasure
Intensive Care: The Story of a Nurse,['Echo Heron'],['Medical'],"Chilling, revelatory, and compassionate, Echo Heron’s bestselling memoir offers a brutally honest account of her time as an idealistic nursing student, her entry into the workforce, and her rude awakening to the gritty realities of practice. Devoted to helping the most trying patients in some of the harshest medical environments—from emergency rooms to intensive care units—Heron boldly confronts the most serious medical dilemmas of our time. When does a patient have the right to end his or her life, how can a medical professional help someone evaluate such a decision, and what can a nurse do when doctors don’t have their patients’ best interests at heart? These are just a few of the critical though deeply uncomfortable questions with which Heron must grapple.","What can I say....I laughed, I cried, I read from cover to cover. I first read Echo Heron while a first year nursing student. But I became a nurse anyway.This book, along with her other non-novels should be required reading for all aspiring nurses. If you still want to be one afterwards you really need therapy. All &quot;non nurses&quot; should read her books just to see what we have to put up with and why we turn out the way we do!"
Seamanship : A Voyage Along the Wild Coasts of the British Isles,['Adam Nicolson'],['Biography & Autobiography'],"From Land's End to Cape Clear, past Roaringwater Bay and Cod's Head, on past Inishvickillane and Inishtooskert, up through the Hebrides, to Orkney and on to the Faeroes stretches the richest and wildest coastline in Europe. Adam Nicolson decided to sail this coast in the Auk, a 42-foot wooden ketch, embarking on a 1,500-mile voyage through what he hoped would be a sequence of revelatory landscapes. He was not disappointed. Seamanship is more than a travel journal. It describes an inner journey as much as an outer one—disasters and discoveries, powerful landscapes and modern visionaries, and encounters with the animals living on the wild edge of the Atlantic. Above all, it is about the gaps that open up between those who go and those who stay at home. Seamanship, in the end, is not about the sea. It's about being alive.","This son of British aristocrats and inheritor of the family castle has a fine command of the English language, and a prep school mastery of classical literature. Wordsworth, Blake, Auden, Homer...every last rock along the Irish and Scottish coast is adored as exceptional, extraordinary, and peered at through the lens of history, religion and literature. It's a bit as if we've compressed a year-long seafaring adventure around the British Isles into a Great Western Literature series.Still, as the Brits are wont to do, Nicolson riffs brilliantly from time to time. Describing a skin-diving find of cave-dwelling crabs: ""The crabs sat among them, alert and claws raised, hanging there poised, armed and Homeric, each one a toy Achilles with his spear and helmet set among the display cabinets in Cartier's or Tiffany's."" At times, the story jumps off the pages...a daring rescue at sea...a brush with death. But just as quickly, we're back slogging through the stuffy, semi-pretentious introspection and forced metaphor.Though Nicolson gives a half-hearted attempt at soul-searching and introspection, in the end we just don't like him very much. Rather, we fully agree with the sea captain he has hired to keep him alive and sail from Southern England to the northern reaches of the Hebrides and Orkneys. Captain George Fairhurst provides the seamanship, and ultimately decides his employer/chronicler is a mere ""plucker"", someone who takes life's pleasures as they come and decidedly avoids shouldering the risk. The short novel is replete with Nicolson bounding off the ship to go rock-climbing, scuba diving, strolling about the latest landing, while Fairhurst is deep in the bowels of the diesel engines trying to keep the boat afloat and the whole project alive.Given the title, I am disappointed Fairhurst didn't essay his experience."
"Giuseppe Terragni: Transformations, Decompositions, Critiques",['Peter Eisenman'],['Architecture'],"Forty years in the making, ""Giuseppe Terragni: Transformations, Decompositions, Critiques"" documents and investigates two of Italian rationalist architect Giuseppe Terragni's masterworks: the Casa del Fascio (1933-36) and the Casa Giuliani-Frigerio (1939-40), both in Como. This far-reaching study -- illustrated with more than five hundred original architectural diagrams and archival photographs -- employs what Eisenman calls critical and textual reading of both buildings. He attempts to broaden the definition of the formal from a narrow aesthetic and compositional view to include first the conceptual and then the textual. It is through this idea of the textual that Eisenman begins to define an idea of the critical in architecture. Eisenman's methodology is wholly removed from traditional approaches -- social, historical, aesthetic, functional. Instead, the various articulations and openings on the facades constitute a set of marks, notations that provide the basis for his analysis. In the Casa del Fascio, for example, each of the four sequential design schemes records the previous state, encoding the process of transformation in the final building. In the Casa Giuliani-Frigerio it is instead the process of decomposition that generates the facades. Also included in the book are an essay by Terragni and a critique by Manfredo Tafuri. In the end, it is the dual protagonists -- the architect and the author -- who together establish a new theoretical and analytical framework.","Granted, Eisenman's texts are challenging. But the diagrams and drawings more than make up for it. A great addition to any thorough library of Italian modern architecture."
The Hot Kid : A Novel,['Elmore Leonard'],['Fiction'],"The undisputed master of the crime novel strikes again with this powerfully entertaining story, set in 1920s Oklahoma, that introduces one of the toughest lawmen ever to come out of the west. . . . Carlos Webster was 15 the day he witnessed his first murder—but it wouldn’t be his last. It was also his first introduction to the notorious gunman, Emmet Long. By the time Carlos is 20, he’s being sworn in as a deputy United States marshal and now goes by the name Carl. As for Emmet, he’s robbing banks with his new partner, the no-good son of an oil millionaire. Carl Webster and Emmet Long may be on opposite sides of the law but their long-time game of cat and mouse will turn them both into two of the most famous names in crime and punishment.","This novel being my first Elmore Leonard, I must say it took me a little while getting use to his minimalist style. Once I got use to it though, the story just played out like a movie. I love it when a book makes you forget that you're actually reading---something that I come across very rarely.Like many have already stated, Leonard's dialog is phenomenal, and well above any of his competition.I'm not one who usually seeks out a period story, but with this one, I was so enthralled with what was going on, I didn't notice it, it was wonderful, another character, if you will.I'm already seeking out my next Leonard novel to read.Happy Reading."
A Prayer for Owen Meany (Franklin Library Signed First Edition),['John Irving'],['Fiction'],"'A work of genius' Independent 'Marvellously funny . . . What better entertainment is there than a serious book which makes you laugh?' Spectator 'If you care about something you have to protect it. If you're lucky enough to find a way of life you love, you have to find the courage to live it.' Summer, 1953. In the small town of Gravesend, New Hampshire, eleven-year-old John Wheelwright and his best friend Owen Meany are playing in a Little League baseball game. When Owen hits a foul ball which kills John's mother, their lives are changed in an instant. It is dismissed as a tragic accident but Owen disagrees. He believes that he is God's instrument, put on Earth for a higher purpose. And as the boys come into adulthood to the background of the Vietnam War, a series of remarkable events show that perhaps Owen's divine plan was not imagined after all. Discover the funny yet poignant classic by the bestselling author of The World According to Garp. 'So extraordinary, so original, and so enriching' Stephen King, The Washington Post 'May justly join the classic American list' Anthony Burgess, Observer","This is my favorite book by Irving. It made me laugh, cry, and marvel at his writing skills and insights. I absolutely love it!"
The Reader,['Bernhard Schlink'],['Fiction'],"Hailed for its coiled eroticism and the moral claims it makes upon the reader, this mesmerizing novel is a story of love and secrets, horror and compassion, unfolding against the haunted landscape of postwar Germany. When he falls ill on his way home from school, fifteen-year-old Michael Berg is rescued by Hanna, a woman twice his age. In time she becomes his lover—then she inexplicably disappears. When Michael next sees her, he is a young law student, and she is on trial for a hideous crime. As he watches her refuse to defend her innocence, Michael gradually realizes that Hanna may be guarding a secret she considers more shameful than murder.","""The Reader"" is a book to savor. Expertly written, this book pulls you in with moments of bliss and wonder as our protagonist's quiet life suddenly explodes with passion and yearning. The novel then shifts from the physical to the philosophical, as Michael encounters the uncertainties behind the ecstasy. We hear all this from the perspective of a grown man, carefully considering a lifetime of choices.As he unravels and examines his life, Michael confronts questions that are universal in scope. In relationships, in life, we are all faced with choices and our choices have consequences. Wrestling with one's own choices is necessarily a lifetime endeavor, but in ""The Reader"" it is evident how choices we made long ago can stay with us.We also find ourselves in situations that require us to judge the choices of others. This moral dilemna, constructing a reliable platform within our own ambiguous morality from which we can evaluate others, is wonderfully explored in this book.I found Michael's voice and character to be quite likeable and sympathetic; in his unassuming way, he is sweet and charming. Fate pairs him up with Hanna, a mysterious older woman, and he tumbles into love.Years later, still uneasy about questions of his own guilt in betraying Hanna, Michael unexpectedly finds himself in a courtroom where Hanna's larger actions as an SS guard are being judged.As her former lover, Michael is in an unusal position. Michael struggles to match the Hanna who called him ""Kid"" with the camp guard guilty of such unpardonable crimes. The time he spent reading to Hanna provides the prism through which he views her now. Remembering how this time they shared was a warm and intimate part of their trysts, and hearing that Hanna selected certain prisoners to read to her within the walls of the camp, Michael chooses to believe that his former lover's actions were not unkind.In a stark and dramatic scene, Michael encounters an older man who suggests that it was possible to kill the Jews because the Germans involved were indifferent. Michael is appalled by this idea, and despite her guilty verdict Michael can't be indifferent to Hanna. His care and concern for her continue throughout his life; he resumes the role of her reader.We never know exactly what Hanna is thinking, but her final actions are arresting. Inspired by Michael's recorded books, enough to become a reader herself, she nonetheless loses faith in herself when Michael fails to address her in his own words. Michael realizes only too late that Hanna felt the sting of his inability to forgive her.All in all, a very thoughtful and complicated novel wrapped in a concise and rewarding package. Setting ""The Reader"" against the Holocaust may be upsetting to some people, but it does indeed serve as a larger mirror against which our protagonist can measure his own worth."
Stealing Henry,['Carolyn MacCullough'],['Juvenile Fiction'],"The experiences of high-schooler Savannah, following her decision to take her eight-year-old half brother from his abusive father and their oblivious mother, are interspersed with the earlier story of her mother, Alice, as she meets Savannah's father and unexpectedly becomes pregnant.","As in her first novel, Falling Through Darkness, MacCullough has crafted a beautiful novel with prose that sings. Her characters are vivid, the dialogue pitch perfect, the situation very real, and the resolution hopeful but realistic. All in all this is a terrific read from a very talented writer. I look forward to her other books."
The Monster At The End Of This Book,['Jon Stone'],['Juvenile Fiction'],"Adapted into a sturdy board book format, a best-selling Sesame Street Little Golden Book classic follows a frantic Grover's efforts to prevent readers from turning the pages and finding the not-so-scary monster at the end of the book. TV tie-in.","The Monster at the End of This Book is a fun, engaging book that will be read over and over. Although I am usually skeptical of any book with a brand-name character in it, this book really pulls off something great.The key element that makes this book fun to read is the interaction between the reader/listener and Grover. Grover is terrified of the monster at the end of the book and is prepared to do anything to keep you from getting there. Any child reading this book is going to be dying to turn the page.This book also teaches a great message for kids. Sometimes, we get really scared of the monster we think is waiting for us, but then it turns out that the monster isn't so bad after all. This would be a great book for any child dealing with a monster-under-the-bed phobia, or even any kind of unjustified fears.This book gets a solid 5 stars from me for it's fun and creative illustrations, great plot, great message, and engaging humor. I would highly recommend this as an addition to any home library."
Great Expectations,['Charles Dickens'],['Fiction'],"Penguin Classics e-books give you the best possible editions of Charles Dickens's novels, including all the original illustrations, useful and informative introductions, the definitive, accurate text as it was meant to be published, a chronology of Dickens's life and notes that fill in the background to the book. This Penguin Classics edition of Great Expectations also includes Dickens's alternative ending to the novel. A terrifying encounter with an escaped convict in a graveyard on the wild Kent marshes; a summons to meet the bitter, decaying Miss Havisham and her beautiful, cold-hearted ward Estella; the sudden generosity of a mysterious benefactor - these form a series of events that change the orphaned Pip's life forever, and he eagerly abandons his humble origins to begin a new life as a gentleman. Dickens's haunting late novel depicts Pip's education and development through adversity as he discovers thetrue nature of his 'great expectations'.","I highly reccomend this book to anyone interested in reading the classics. I first read the story in high-school and immediatly fell in love with Dicken's eloquent style. His descriptions of Pip's surroundings, emotions and experiences never fail to capture my imagination and tug at my heart. Dickens can be very tough to read, but also very rewarding because you know that you are enjoying a piece of literary genius. Great Expectations provides a nice into into his style and prepares readers for his more challenging stories.The story is long, and detailed but extremely captivating. The characters are complex and the mystery will keep you turning the pages. Even if you've never considered reading Dickens before, read this one!"
Chinese Cook Book,['Ken Hom'],['Cooking'],"Ken Hom is widely regarded as the world's leading authority on Oriental cuisine, and with the Complete Chinese Cookbook, he has created a seminal collection of his best-loved dishes. With Cantonese stir-fries and spicy Sichuan favourites alongside new discoveries from the lesser-known culinary styles of Yunnan and Hong Kong, this comprehensive collection is filled with accessible and easy recipes, demonstrating the amazing depth of flavour that is only now being fully appreciated in modern Chinese cuisine. Set to become a kitchen classic, this all-encompassing cookery book guides you through the essential cooking techniques, equipment and ingredients, all with Ken's trusted blend of experience and enthusiasm. Featuring 250 recipes covering all aspects of Chinese food, Ken offers tips and inspiration for a wealth of dishes that use simple, healthy ingredients to create quick and delicious meals. Over the past 25 years Ken has brought Chinese cookery into mainstream British homes, and in this beautifully photographed cookbook, he brings together all of his expertise to offer the ultimate guide to the flavours of China.",Years ago I took a Chinese cooking class and bought this book at the same time. I ordered a used copy since I had given my well worn copy away when I moved out of the country. Sunset books were always great.
The Holy Bible: English Standard Version (Red Letter Edition),['Crossway'],['Bibles'],"The ESV Study Bible was created to help people understand the Bible in a deeper way. Combining the best and most recent evangelical Christian scholarship with the highly regarded ESV text, it is the most comprehensive study Bible ever published. The ESV Study Bible features more than 2,750 pages of extensive, accessible Bible resources, including completely new notes, full-color maps, illustrations, charts, timelines, and articles created by an outstanding team of 93 evangelical Christian scholars and teachers. In addition to the 757,000 words of the ESV Bible itself, the notes and resources of the ESV Study Bible comprise an additional 1.1 million words of insightful explanation and teaching-equivalent to a 20-volume Bible resource library all contained in one volume. (Please note this edition does not come with free access to the Online ESV Study Bible resources.)","The English Standard Version is a faithful translation of the Bible. Many conservative Christians I know seem unable to distinguish between translations. They think all Bibles are basically the same and can be used interchangeably. Unfortunately, this is not true.The English Standard Version is as literal as possible and as free as necessary. You come closer to hearing the original words in this translation than you do in the New International Version, for example. Consequently, its reading level is higher than the NIV--more like high school or college than middle school or elementary school.This translation is historically related to the King James Version, the American Standard Version, and the Revised Standard Version. It eliminates the archaic ""thees"" and ""thous"" of those translations while retaining the basic beauty of the prose.Unlike the New Revised Standard Version, the Engish Standard Version does not use gender-inclusive language when the original text does not warrant it. For that reason, it is more accurate and honest though less politically correct.If you want the unvarnished Bible in a modern translation, this is your best bet. It isn't perfect. No translation is. But it is far better than the KJV, the NIV, the REB, and many others because, while modern, it avoids, insofar as possible, combining commentary with translation."
Captivating: unveiling the Mystery of a Woman's Soul,"['John Eldredge', 'Stasi Eldredge']",['Religion'],"Every woman was once a little girl and every lilttle girl holds in her heart her most precious dreams. The message of captivating is that your heart matters more than anything else in creation. The desires you had as a little girl and the longings you still feel as a woman are telling you of the life God created you to live.He offers to come now as the hero of your story, to rescue your heart and release you to live a fully alive and feminine woman.",I just finished reading this cover to cover in anticipation for our Women's Bible Study coming up this next week. It seemed as if every other page was written specifically for me.
A tree grows in Brooklyn: A novel (Armed Services edition),['Molly Guptill Manning'],['History'],"Chronicles the joint effort of the U.S. government, the publishing industry and the nation's librarians to boost troop morale during World War II by shipping 120 million books to the front lines for soldiers to read during what little downtime they had. 35,000 first printing.","I'm entering the 9th grade this September, and am almost 14 years old. When I first saw this book on the reading list, it came along with Little Women and Tom Sawyer. I had to read 2 of them, so first I chose Tom Sawyer, and was going to read Little Women. As I was on my way out of the library (they had no books from the list there), I bumped into one of my mom's friends. She looked at the list, and saw A Tree Grows in Brooklyn, and told me how much she loves the book, and that I must read it! I looked at it and first thought, 1912? How can THIS be interesting? So I started to read, and then couldn't put the book down. I began seeing how much the girl, Francie, is just like me, even though we grew up 74 years apart. I even learned some lessons in the book, and will defninitly give it to my sisters, and future children to read. I love that book so much."
